City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Hithadhoo,MV,2020-04-17 19:28:23,-0.6,73.08,84.81,72,36,7.27,scattered clouds,0.000,0
1,Codrington,AU,2020-04-17 19:26:43,-38.27,141.97,55.9,76,90,12.77,light rain,0.160,0
2,Coquimbo,CL,2020-04-17 19:28:24,-29.95,-71.34,62.6,77,0,16.11,clear sky,0.000,0
3,Mataura,NZ,2020-04-17 19:28:25,-46.19,168.86,50.0,91,100,7.0,light rain,0.120,0
4,Bilibino,RU,2020-04-17 19:28:27,68.05,166.44,-2.24,85,12,4.76,few clouds,0.000,0
5,Berlevag,NO,2020-04-17 19:28:27,70.86,29.09,33.8,93,75,23.04,broken clouds,0.000,0
6,Rikitea,PF,2020-04-17 19:28:28,-23.12,-134.97,76.86,65,53,5.21,broken clouds,0.000,0
7,Castro,BR,2020-04-17 19:28:29,-24.79,-50.01,73.47,26,5,1.68,clear sky,0.000,0
8,Mahajanga,MG,2020-04-17 19:28:30,-15.72,46.32,78.8,69,20,5.82,few clouds,0.000,0
9,Barreiro,PT,2020-04-17 19:28:31,38.66,-9.07,61.0,72,20,6.93,few clouds,0.000,0
10,Albuquerque,US,2020-04-17 19:27:01,35.08,-106.65,64.4,20,20,6.26,few clouds,0.000,0
11,Hambantota,LK,2020-04-17 19:27:31,6.12,81.12,78.8,100,20,2.24,few clouds,0.000,0
12,Myaundzha,RU,2020-04-17 19:28:33,63.05,147.19,-7.31,78,100,4.09,overcast clouds,0.000,0
13,Ekuvukeni,ZA,2020-04-17 19:28:33,-28.47,30.16,59.05,60,0,4.88,clear sky,0.000,0
14,Emporia,US,2020-04-17 19:28:34,38.4,-96.18,44.01,75,90,12.75,overcast clouds,0.000,0
15,Kapaa,US,2020-04-17 19:25:41,22.08,-159.32,78.8,69,20,11.41,few clouds,0.000,0
16,Carauari,BR,2020-04-17 19:28:35,-4.88,-66.9,82.94,80,72,4.63,moderate rain,3.750,0
17,Bethel,US,2020-04-17 19:24:52,41.37,-73.41,48.99,34,48,5.01,scattered clouds,0.000,0
18,Omsukchan,RU,2020-04-17 19:28:36,62.53,155.8,1.06,85,100,4.68,overcast clouds,0.000,0
19,Mbigou,GA,2020-04-17 19:28:37,-1.9,11.91,71.89,80,97,4.23,moderate rain,3.870,0
20,Idlib,SY,2020-04-17 19:28:37,35.93,36.63,66.2,63,34,3.36,scattered clouds,0.000,0
21,Bathsheba,BB,2020-04-17 19:27:01,13.22,-59.52,86.0,58,40,18.34,scattered clouds,0.000,0
22,Cap Malheureux,MU,2020-04-17 19:28:39,-19.98,57.61,77.0,78,40,11.41,scattered clouds,0.000,0
23,Nicoya,CR,2020-04-17 19:28:42,10.15,-85.45,95.0,36,40,11.41,scattered clouds,0.000,0
24,Mosetse,BW,2020-04-17 19:28:44,-20.75,26.65,75.92,37,68,14.36,broken clouds,0.000,0
25,Jamestown,US,2020-04-17 19:28:46,42.1,-79.24,32.0,86,90,8.05,light snow,0.000,0
26,Cape Town,ZA,2020-04-17 19:28:00,-33.93,18.42,62.01,72,42,10.29,scattered clouds,0.000,0
27,Ancud,CL,2020-04-17 19:26:20,-41.87,-73.82,60.8,100,90,9.17,overcast clouds,0.000,0
28,Matagami,CA,2020-04-17 19:28:49,49.75,-77.63,32.0,87,90,16.11,overcast clouds,0.000,0
29,La Ronge,CA,2020-04-17 19:24:34,55.1,-105.28,44.6,52,90,13.87,overcast clouds,0.000,0
30,Hilo,US,2020-04-17 19:25:59,19.73,-155.09,75.2,64,75,4.7,broken clouds,0.000,0
31,Ushuaia,AR,2020-04-17 19:28:51,-54.8,-68.3,57.2,30,20,17.22,few clouds,0.000,0
