City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2020-04-14 01:52:03,59.7,30.79,32.0,86,0,4.47
1,Port Alfred,ZA,2020-04-14 01:52:04,-33.59,26.89,59.0,79,95,3.0
2,Kavieng,PG,2020-04-14 01:52:04,-2.57,150.8,84.67,69,100,3.6
3,Narsaq,GL,2020-04-14 01:52:06,60.92,-46.05,30.2,86,99,5.17
4,Kaitangata,NZ,2020-04-14 01:52:06,-46.28,169.85,48.99,67,99,4.0
5,Ban Tak,TH,2020-04-14 01:52:07,17.04,99.08,84.99,61,24,5.5
6,Te Anau,NZ,2020-04-14 01:52:08,-45.42,167.72,44.82,58,26,5.61
7,Avarua,CK,2020-04-14 01:52:08,-21.21,-159.78,78.8,74,69,5.82
8,Boyolangu,ID,2020-04-14 01:52:09,-8.12,111.89,84.92,64,71,3.74
9,Rorvik,NO,2020-04-14 01:52:11,64.86,11.24,34.27,93,100,9.53
10,Bengkulu,ID,2020-04-14 01:52:12,-3.8,102.27,86.92,64,72,3.18
11,Leningradskiy,RU,2020-04-14 01:52:13,69.38,178.42,12.72,92,56,4.16
12,Port Elizabeth,ZA,2020-04-14 01:50:02,-33.92,25.57,59.0,62,85,9.17
13,New Norfolk,AU,2020-04-14 01:52:14,-42.78,147.06,66.0,55,20,13.87
14,Guerrero Negro,MX,2020-04-14 01:47:49,27.98,-114.06,60.15,75,0,18.54
15,Ponta Do Sol,PT,2020-04-14 01:48:09,32.67,-17.1,60.8,59,75,10.29
16,Punta Arenas,CL,2020-04-14 01:52:07,-53.15,-70.92,48.2,75,75,8.05
17,Lakes Entrance,AU,2020-04-14 01:52:16,-37.88,147.98,62.01,77,72,4.0
18,Agua Fria,HN,2020-04-14 01:52:17,13.47,-87.55,85.08,66,97,2.91
19,Yar-Sale,RU,2020-04-14 01:52:17,66.83,70.83,15.89,96,77,11.79
20,Rikitea,PF,2020-04-14 01:47:54,-23.12,-134.97,76.93,71,75,11.27
21,Mataura,NZ,2020-04-14 01:52:19,-46.19,168.86,48.0,76,82,15.01
22,Ilulissat,GL,2020-04-14 01:52:19,69.22,-51.1,28.4,92,100,12.75
23,Warwick,US,2020-04-14 01:48:41,41.7,-71.42,60.8,93,40,9.17
24,Ushuaia,AR,2020-04-14 01:48:01,-54.8,-68.3,46.4,70,75,6.93
25,Ouesso,CG,2020-04-14 01:52:23,1.61,16.05,71.26,84,74,0.81
26,Cooma,AU,2020-04-14 01:52:23,-36.23,149.13,62.6,48,90,4.7
27,Tuktoyaktuk,CA,2020-04-14 01:52:24,69.45,-133.04,26.6,92,90,8.05
28,Hobart,AU,2020-04-14 01:48:50,-42.88,147.33,68.0,55,20,13.87
29,Tongliao,CN,2020-04-14 01:52:25,43.61,122.27,65.62,26,83,11.3
30,Beterou,BJ,2020-04-14 01:52:26,9.2,2.26,79.86,67,48,6.62
31,Chuy,UY,2020-04-14 01:52:26,-33.7,-53.46,64.67,87,98,7.83
32,Tasiilaq,GL,2020-04-14 01:52:27,65.61,-37.64,35.6,43,3,35.57
33,Barrow,US,2020-04-14 01:52:28,71.29,-156.79,26.6,92,90,12.75
34,Butaritari,KI,2020-04-14 01:52:28,3.07,172.79,83.46,79,78,14.63
35,Atuona,PF,2020-04-14 01:52:29,-9.8,-139.03,82.72,68,75,5.17
36,Yatou,CN,2020-04-14 01:52:29,37.15,122.38,55.99,51,41,7.0
37,Chimore,BO,2020-04-14 01:52:30,-16.98,-65.13,74.14,87,100,2.06
38,Bluff,NZ,2020-04-14 01:52:30,-46.6,168.33,48.0,76,100,15.01
39,Asyut,EG,2020-04-14 01:52:31,27.18,31.18,60.8,48,0,12.75
40,Bontang,ID,2020-04-14 01:49:43,0.13,117.5,85.66,65,13,9.19
41,Karpathos,GR,2020-04-14 01:52:32,35.51,27.21,59.0,87,0,10.29
42,Cidreira,BR,2020-04-14 01:52:34,-30.18,-50.21,70.14,83,100,15.32
43,Santiago De Chuco,PE,2020-04-14 01:52:34,-8.15,-78.18,50.25,38,100,2.46
44,Temnikov,RU,2020-04-14 01:52:35,54.63,43.21,39.51,72,36,8.99
45,Bethel,US,2020-04-14 01:48:55,41.37,-73.41,62.01,77,1,6.93
46,Kapaa,US,2020-04-14 01:52:36,22.08,-159.32,82.4,78,75,13.87
47,Jamestown,US,2020-04-14 01:51:36,42.1,-79.24,41.0,69,90,20.8
48,Hithadhoo,MV,2020-04-14 01:52:37,-0.6,73.08,84.85,67,91,6.64
49,Bredasdorp,ZA,2020-04-14 01:52:37,-34.53,20.04,50.0,76,3,4.68
50,Sorland,NO,2020-04-14 01:52:38,67.67,12.69,34.36,82,100,12.26
51,Tual,ID,2020-04-14 01:52:39,-5.67,132.75,84.18,68,81,4.05
52,Ixtapa,MX,2020-04-14 01:52:40,20.7,-105.2,73.4,73,40,10.29
53,Tabuk,PH,2020-04-14 01:52:40,17.42,121.44,79.56,57,60,3.11
54,Geraldton,AU,2020-04-14 01:52:41,-28.77,114.6,75.2,57,3,17.22
55,Vaini,TO,2020-04-14 01:48:08,-21.2,-175.2,82.4,69,75,8.05
56,Havelock,US,2020-04-14 01:51:23,34.88,-76.9,69.8,77,1,8.05
57,Bahir Dar,ET,2020-04-14 01:52:42,11.59,37.39,67.19,36,100,4.97
58,Llanes,ES,2020-04-14 01:52:43,43.42,-4.75,51.01,98,2,4.56
59,Hilo,US,2020-04-14 01:43:24,19.73,-155.09,80.6,69,75,11.41
60,Lompoc,US,2020-04-14 01:52:45,34.64,-120.46,64.0,76,90,5.82
61,Issia,CI,2020-04-14 01:52:45,6.49,-6.59,74.97,86,100,2.46
62,Angoche,MZ,2020-04-14 01:52:46,-16.23,39.91,77.11,85,25,2.71
